City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,areia branca,-37.1369,-4.9561,29.11,55,43,8.28,BR,1690235101
1,colonia,6.95,50.9333,16.52,85,100,2.06,DE,1690235101
2,hami,93.45,42.8,26.5,25,0,4.05,CN,1690235102
3,taulaga,-171.0883,-11.0553,28.09,75,26,8.94,AS,1690235103
4,mek'ele,39.4753,13.4967,18.18,79,80,1.77,ET,1690235104
5,swakopmund,14.5333,-22.6833,11.66,84,55,3.47,NA,1690235105
6,puerto ayora,-90.3518,-0.7393,29.98,94,70,2.24,EC,1690235105
7,takoradi,-1.7554,4.8845,24.56,90,100,2.88,GH,1690235105
8,kulhudhuffushi,73.07,6.6221,27.82,80,94,5.06,MV,1690235106
9,edinburgh of the seven seas,-12.3116,-37.0676,15.13,77,75,16.19,SH,1690235106
10,whitehorse,-135.0538,60.7161,16.43,72,75,3.6,CA,1690234735
11,vila franca do campo,-25.4333,37.7167,23.23,83,57,1.5,PT,1690235107
12,kapuskasing,-82.4331,49.4169,23.05,43,75,2.06,CA,1690235107
13,vadso,29.7487,70.0744,9.49,100,100,5.66,NO,1690235108
14,fort bragg,-79.006,35.139,33.03,62,0,2.06,US,1690235044
15,port-aux-francais,70.2167,-49.35,3.96,72,100,11.16,TF,1690235108
16,waitangi,-176.5597,-43.9535,12.68,97,100,1.34,NZ,1690235108
17,albany,-73.9662,42.6001,25.45,76,62,0.45,US,1690234887
18,coxim,-54.76,-18.5067,26.7,29,1,1.72,BR,1690235109
19,dashiqiao,122.5025,40.6373,22.92,92,96,2.35,CN,1690235109
20,grytviken,-36.5092,-54.2811,-6.01,76,17,4.57,GS,1690235110
21,sinfra,-5.9167,6.6167,22.2,99,100,1.67,CI,1690235110
22,udachny,112.4,66.4167,13.03,93,18,2.13,RU,1690235110
23,namibe,12.1522,-15.1961,17.59,85,98,3.17,AO,1690235111
24,puerto natales,-72.4875,-51.7236,-4.93,90,100,0.76,CL,1690235111
25,thompson,-97.8558,55.7435,28.09,32,20,3.6,CA,1690235111
26,mount gambier,140.7667,-37.8333,8.52,82,84,1.07,AU,1690235111
27,fortaleza,-38.5247,-3.7227,27.07,74,0,5.14,BR,1690235063
28,shache,77.2406,38.4167,26.51,47,47,3.91,CN,1690235112
29,blackmans bay,147.3167,-43.0167,8.07,79,98,1.77,AU,1690235112
30,kupang,123.5833,-10.1667,22.24,75,35,6.79,ID,1690235112
31,bethel,-73.414,41.3712,29.45,56,0,5.14,US,1690235112
32,georgetown,100.3354,5.4112,26.96,92,20,1.03,MY,1690235113
33,malango,119.9001,-2.9627,17.45,98,50,0.67,ID,1690235113
34,tura,90.2201,25.5198,23.55,96,99,2.59,IN,1690235113
35,vanino,140.2543,49.0869,21.26,79,36,1.52,RU,1690235114
36,pont rouge,-72.0825,48.8833,28.16,62,98,1.03,CA,1690235114
37,mancio lima,-72.8958,-7.6142,34.04,43,40,2.06,BR,1690235114
38,yellowknife,-114.3525,62.456,25.29,41,100,3.6,CA,1690235114
39,hailey,-114.3153,43.5196,25.92,38,40,5.14,US,1690235115
40,adamstown,-130.1015,-25.066,19.98,69,53,3.57,PN,1690235115
41,nova sintra,-24.7167,14.8667,22.62,81,100,7.43,CV,1690235115
42,broken hill,141.4333,-31.95,5.6,94,0,4.17,AU,1690235116
43,iqaluit,-68.5145,63.7506,7.85,75,75,3.6,CA,1690235116
44,bredasdorp,20.0403,-34.5322,7.16,74,0,2.12,ZA,1690235116
45,jackson,-122.8345,42.4165,31.0,24,0,5.14,US,1690234896
46,mbanza-ngungu,14.8667,-5.25,21.75,64,9,1.75,CD,1690235117
47,arica,-70.3042,-18.475,19.75,68,100,5.66,CL,1690235117
48,hithadhoo,73.0833,-0.6,28.36,78,100,6.7,MV,1690235118
49,lihue,-159.3672,21.9789,28.58,79,100,6.69,US,1690235118
50,spassk,87.7545,52.747,11.71,94,49,1.52,RU,1690235118
51,brigantine,-74.3646,39.4101,28.44,74,0,4.12,US,1690235119
52,tazacorte,-17.9293,28.629,22.54,91,20,6.69,ES,1690235119
53,dalbandin,64.4101,28.8947,29.48,55,100,1.25,PK,1690235119
54,kilindoni,39.6668,-7.9139,24.97,76,13,7.25,TZ,1690235119
55,tres arroyos,-60.2798,-38.3739,5.74,67,71,3.33,AR,1690235120
56,utrik,169.8474,11.2278,28.27,79,94,6.64,MH,1690235120
57,quimili,-62.4167,-27.6333,12.79,74,100,4.56,AR,1690235120
58,ushuaia,-68.3,-54.8,-0.19,69,0,1.03,AR,1690234973
59,atafu village,-172.5159,-8.5421,29.09,69,33,8.19,TK,1690235121
60,miyako,141.9525,39.6367,26.27,75,97,0.68,JP,1690235121
61,stewartville,-92.4885,43.8555,30.16,56,0,0.0,US,1690235122
62,blagoveshchenka,79.8667,52.8333,16.19,76,3,3.06,RU,1690235122
63,punta arenas,-70.9167,-53.15,-2.07,82,100,1.44,CL,1690235122
64,tsiombe,45.4833,-25.3,16.02,91,79,2.45,MG,1690235122
65,ad dabbah,30.95,18.05,34.32,12,55,4.01,SD,1690235123
66,vilyuchinsk,158.4028,52.9306,20.15,77,17,4.48,RU,1690235123
67,afaahiti,-149.2833,-17.75,28.93,82,5,8.71,PF,1690235123
68,papatowai,169.4708,-46.5619,8.19,83,89,2.81,NZ,1690235124
69,dudinka,86.1778,69.4058,12.57,69,63,3.6,RU,1690235124
70,college,-147.8028,64.8569,30.32,49,40,2.57,US,1690235124
71,taki,88.9214,22.5861,27.97,90,50,3.37,IN,1690235124
72,ust-nera,143.2,64.5667,19.41,60,98,3.66,RU,1690235125
73,isafjordur,-23.124,66.0755,9.85,94,100,2.6,IS,1690235125
74,sainte-suzanne,55.6089,-20.9061,21.1,73,20,4.12,RE,1690235125
75,tierra buena,-121.6669,39.1488,38.21,28,0,4.63,US,1690235125
76,qa'en,59.1844,33.7265,22.54,22,0,3.49,IR,1690235126
77,uren',45.7852,57.4552,12.93,94,100,2.38,RU,1690235126
78,tiksi,128.8694,71.6872,4.0,81,17,1.89,RU,1690235126
79,olonkinbyen,-8.7187,70.9221,4.95,93,100,5.86,SJ,1690235127
80,tabou,-7.3528,4.423,25.14,85,95,3.92,CI,1690235128
81,hermanus,19.2345,-34.4187,5.45,66,0,2.41,ZA,1690234872
82,taloqan,69.5345,36.7361,27.86,22,41,2.39,AF,1690235128
83,kisangani,25.2,0.5167,23.58,81,80,1.12,CD,1690235129
84,port elizabeth,25.5701,-33.918,9.16,87,0,3.6,ZA,1690235129
85,bilibino,166.4372,68.0546,10.49,89,100,0.34,RU,1690235130
86,kingston,-76.7936,17.997,35.13,64,20,11.32,JM,1690235006
87,muroto-misakicho,134.15,33.2833,26.78,80,0,1.06,JP,1690235130
88,kone,164.8658,-21.0595,20.26,66,98,2.93,NC,1690235131
89,collingwood,-80.2164,44.4834,26.72,68,17,3.77,CA,1690234927
90,lupane,27.807,-18.9315,12.65,26,0,2.06,ZW,1690235131
91,west island,96.8225,-12.1568,24.99,73,75,8.23,CC,1690235132
92,ugoofaaru,73.0,5.6667,28.03,79,100,4.81,MV,1690235132
93,sisimiut,-53.6735,66.9395,8.59,76,58,5.92,GL,1690235132
94,uturoa,-151.4333,-16.7333,26.75,81,18,6.86,PF,1690235133
95,hotan,79.9269,37.0997,27.71,30,100,3.39,CN,1690235133
96,kodinsk,99.1844,58.6881,15.98,96,98,1.25,RU,1690235133
97,macusani,-70.4333,-14.0833,7.59,48,97,2.71,PE,1690235134
98,yerofey pavlovich,121.9667,53.9667,17.82,78,99,0.26,RU,1690235134
99,st. john's,-52.7093,47.5649,25.66,78,20,7.72,CA,1690235011
